Vogt-Koyanagi-Harada disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
29	GO:BP	GO:0031347	regulation of defense response	3.3722240449689413e-34	True	"""Any process that modulates the frequency, rate or extent of a defense response."" [GOC:mah]"	726	101	44	21110	0.4356435643564356	0.0606060606060606	query_1	['GO:0006952', 'GO:0080134']	['PTPN22', 'SHARPIN', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'OPTN', 'TRAF3', 'SARM1', 'IRAK3', 'TNFRSF1A', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'TRADD', 'IRAK1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
30	GO:BP	GO:0009966	regulation of signal transduction	3.876406904187257e-34	True	"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]"	3003	101	71	21110	0.7029702970297029	0.0236430236430236	query_1	['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'TANK', 'HSPA1A', 'GSK3B', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3', 'CDC37']
31	GO:BP	GO:0009967	positive regulation of signal transduction	7.419329128418493e-34	True	"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]"	1538	101	56	21110	0.5544554455445545	0.036410923276983	query_1	['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']	['PTPN22', 'SHARPIN', 'CARD11', 'HSPA1A', 'CREBBP', 'MYD88', 'UBE2V1', 'MAP3K14', 'TRAF3', 'HTT', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TICAM2', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'UBE2N', 'TNFAIP3']
32	GO:BP	GO:0098542	defense response to other organism	1.004040523618857e-33	True	"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]"	1243	101	52	21110	0.5148514851485149	0.0418342719227675	query_1	['GO:0006952', 'GO:0051707']	['PTPN22', 'SHARPIN', 'TANK', 'HSPA1A', 'CREBBP', 'MYD88', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
33	REAC	REAC:R-HSA-975871	MyD88 cascade initiated on plasma membrane	1.850824096570741e-33	True	MyD88 cascade initiated on plasma membrane	96	96	28	10790	0.2916666666666667	0.2916666666666667	query_1	['REAC:R-HSA-168142', 'REAC:R-HSA-168176']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
34	REAC	REAC:R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	1.850824096570741e-33	True	Toll Like Receptor 5 (TLR5) Cascade	96	96	28	10790	0.2916666666666667	0.2916666666666667	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
35	REAC	REAC:R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	1.850824096570741e-33	True	Toll Like Receptor 10 (TLR10) Cascade	96	96	28	10790	0.2916666666666667	0.2916666666666667	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IRAK4', 'BTRC', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
36	GO:BP	GO:0023056	positive regulation of signaling	2.5519364661433005e-33	True	"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	1742	101	58	21110	0.5742574257425742	0.0332950631458094	query_1	['GO:0023051', 'GO:0023052', 'GO:0048518']	['PTPN22', 'SHARPIN', 'CARD11', 'HSPA1A', 'GSK3B', 'CREBBP', 'MYD88', 'UBE2V1', 'MAP3K14', 'TRAF3', 'HTT', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RAB8B', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TICAM2', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'UBE2N', 'TNFAIP3']
37	GO:BP	GO:0010647	positive regulation of cell communication	2.7187136372066826e-33	True	"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	1744	101	58	21110	0.5742574257425742	0.0332568807339449	query_1	['GO:0007154', 'GO:0010646', 'GO:0048522']	['PTPN22', 'SHARPIN', 'CARD11', 'HSPA1A', 'GSK3B', 'CREBBP', 'MYD88', 'UBE2V1', 'MAP3K14', 'TRAF3', 'HTT', 'CASP10', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RAB8B', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TICAM2', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'UBE2N', 'TNFAIP3']
38	REAC	REAC:R-HSA-73887	Death Receptor Signaling	3.0817789022457574e-33	True	Death Receptor Signaling	140	96	31	10790	0.3229166666666667	0.2214285714285714	query_1	['REAC:R-HSA-162582']	['SHARPIN', 'MYD88', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'RBCK1', 'TNF', 'FAS', 'RNF31', 'FADD', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'IRAK1', 'TAX1BP1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TNFAIP3']
39	GO:BP	GO:0032103	positive regulation of response to external stimulus	3.774373395934581e-33	True	"""Any process that activates, maintains or increases the rate of a response to an external stimulus."" [GOC:mah]"	566	101	40	21110	0.396039603960396	0.0706713780918728	query_1	['GO:0009605', 'GO:0032101', 'GO:0048584']	['PTPN22', 'HSPA1A', 'CREBBP', 'MYD88', 'OPTN', 'TRAF3', 'SARM1', 'IRAK3', 'TNFRSF1A', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'TNFSF14', 'TRADD', 'IRAK1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3']
40	GO:BP	GO:0006955	immune response	5.4980674351218886e-33	True	"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]"	1946	101	60	21110	0.594059405940594	0.0308324768756423	query_1	['GO:0002376', 'GO:0050896']	['PTPN22', 'CARD11', 'TANK', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'TNFSF14', 'IRAK1', 'MALT1', 'LTB', 'TNIP1', 'NFKB2', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'UBE2N', 'TNFAIP3', 'CDC37']
41	GO:BP	GO:0023051	regulation of signaling	1.1324454278667467e-32	True	"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]"	3413	101	73	21110	0.7227722772277227	0.0213888075007324	query_1	['GO:0023052', 'GO:0050789']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'TANK', 'HSPA1A', 'GSK3B', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'RAB8A', 'TRAF3', 'SARM1', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RAB8B', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3', 'CDC37']
42	GO:BP	GO:0010646	regulation of cell communication	1.3835744214395928e-32	True	"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]"	3423	101	73	21110	0.7227722772277227	0.0213263219398188	query_1	['GO:0007154', 'GO:0050794']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'TANK', 'HSPA1A', 'GSK3B', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'RAB8A', 'TRAF3', 'SARM1', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RAB8B', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'CFLAR', 'TNFSF14', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3', 'CDC37']
43	GO:BP	GO:0002376	immune system process	1.9264325169876127e-32	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2710	101	67	21110	0.6633663366336634	0.0247232472324723	query_1	['GO:0008150']	['PTPN22', 'CARD11', 'MAP3K8', 'TANK', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'HSPH1', 'RAB8B', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'SKAP2', 'TNF', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'TNFSF14', 'IRAK1', 'MALT1', 'LTB', 'TNIP1', 'NFKB2', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'FBXW7', 'BCL10', 'CD14', 'CUL4A', 'UBE2N', 'TNFAIP3', 'CDC37']
44	GO:BP	GO:0002831	regulation of response to biotic stimulus	1.9871762181733584e-32	True	"""Any process that modulates the frequency, rate, or extent of a response to biotic stimulus."" [GOC:add]"	457	101	37	21110	0.3663366336633663	0.0809628008752735	query_1	['GO:0009607', 'GO:0048583']	['PTPN22', 'HSPA1A', 'CREBBP', 'MYD88', 'OPTN', 'TRAF3', 'SARM1', 'IRAK3', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'TNIP2', 'PELI1', 'IRAK1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
45	GO:BP	GO:0006952	defense response	3.1160852678010666e-32	True	"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]"	1823	101	58	21110	0.5742574257425742	0.0318156884256719	query_1	['GO:0006950']	['CUL3', 'PTPN22', 'SHARPIN', 'TANK', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'NFKBIB', 'OPTN', 'MAP3K14', 'TRAF3', 'SARM1', 'IRAK3', 'CHUK', 'TNFRSF1A', 'RELA', 'IKBKB', 'TBKBP1', 'FASLG', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'AZI2', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'LRSAM1', 'TNFAIP3', 'CDC37']
46	REAC	REAC:R-HSA-446652	Interleukin-1 family signaling	3.993730254747564e-32	True	Interleukin-1 family signaling	151	96	31	10790	0.3229166666666667	0.2052980132450331	query_1	['REAC:R-HSA-449147']	['MAP3K8', 'MYD88', 'NFKBIB', 'UBE2V1', 'IRAK3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'RBX1', 'IRAK4', 'BTRC', 'TBK1', 'IRAK2', 'NFKB1', 'TNIP2', 'PELI1', 'SKP1', 'IRAK1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'UBE2N']
47	GO:BP	GO:0002218	activation of innate immune response	7.610133840823548e-32	True	"""Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species."" [GO_REF:0000022, GOC:add, GOC:mtg_sensu, ISBN:0781735149, PMID:15199967, PMID:16177805]"	229	101	30	21110	0.297029702970297	0.131004366812227	query_1	['GO:0002253', 'GO:0045089']	['PTPN22', 'HSPA1A', 'CREBBP', 'MYD88', 'TRAF3', 'SARM1', 'IRAK3', 'RELA', 'IKBKB', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'IRAK2', 'IRF7', 'TNIP2', 'PELI1', 'IRAK1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'TNFAIP3']
48	GO:CC	GO:0005829	cytosol	1.6508256714558466e-31	True	"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]"	5453	101	83	22122	0.8217821782178217	0.0152209792774619	query_1	['GO:0005737', 'GO:0110165']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'STIP1', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'NFKBIE', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'OPTN', 'MAP3K14', 'RAB8A', 'TRAF3', 'SARM1', 'HTT', 'CASP10', 'HSP90AB1', 'CHUK', 'HSPH1', 'TAB2', 'RELA', 'IKBKB', 'DNAJA2', 'FKBP5', 'IKBKE', 'RBX1', 'FYB1', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'SKAP2', 'FAS', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'CFLAR', 'TRADD', 'IRAK1', 'MALT1', 'TNIP1', 'NFKB2', 'DNAJA4', 'XPNPEP3', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'SNX33', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'CAND1', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TBC1D17', 'HSPA8', 'TAB3', 'TICAM1', 'CUL1', 'PTGES3', 'FBXW7', 'BCL10', 'LRSAM1', 'UBE2N', 'TNFAIP3', 'CDC37']
49	GO:BP	GO:0045089	positive regulation of innate immune response	1.7554011133239654e-31	True	"""Any process that activates or increases the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection."" [GOC:ebc]"	296	101	32	21110	0.3168316831683168	0.1081081081081081	query_1	['GO:0002833', 'GO:0031349', 'GO:0032103', 'GO:0045087', 'GO:0045088', 'GO:0050778']	['PTPN22', 'HSPA1A', 'CREBBP', 'MYD88', 'TRAF3', 'SARM1', 'IRAK3', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'IRAK2', 'FADD', 'IRF7', 'TNIP2', 'PELI1', 'IRAK1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'TNFAIP3']
50	GO:BP	GO:0045088	regulation of innate immune response	1.9080065548888563e-31	True	"""Any process that modulates the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection."" [GOC:ebc]"	366	101	34	21110	0.3366336633663366	0.0928961748633879	query_1	['GO:0002831', 'GO:0031347', 'GO:0032101', 'GO:0045087', 'GO:0050776']	['PTPN22', 'HSPA1A', 'CREBBP', 'MYD88', 'TRAF3', 'SARM1', 'IRAK3', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'TBK1', 'TNF', 'IRAK2', 'FADD', 'IRF7', 'TNIP2', 'PELI1', 'IRAK1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'BIRC3', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'TNFAIP3', 'CDC37']
51	GO:BP	GO:0050778	positive regulation of immune response	2.0754725640177053e-31	True	"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]"	730	101	42	21110	0.4158415841584158	0.0575342465753424	query_1	['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']	['PTPN22', 'CARD11', 'HSPA1A', 'CREBBP', 'MYD88', 'TRAF3', 'SARM1', 'IRAK3', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'TICAM1', 'BCL10', 'CD14', 'UBE2N', 'TNFAIP3']
52	KEGG	KEGG:04621	NOD-like receptor signaling pathway	2.348685574235532e-31	True	NOD-like receptor signaling pathway	182	93	34	8161	0.3655913978494624	0.1868131868131868	query_1	['KEGG:00000']	['SHARPIN', 'TANK', 'MYD88', 'NFKBIB', 'TRAF3', 'HSP90AB1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'FADD', 'IRF7', 'NFKB1', 'RIPK1', 'HSP90AA1', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'TNFAIP3']
53	REAC	REAC:R-HSA-168256	Immune System	2.7518137670153423e-31	True	Immune System	2049	96	73	10790	0.7604166666666666	0.0356271351878965	query_1	['REAC:0000000']	['CUL3', 'PTPN22', 'CARD11', 'MAP3K8', 'TANK', 'HSPA1A', 'TNFRSF1B', 'NFKBIE', 'CREBBP', 'MYD88', 'NFKBIB', 'UBE2V1', 'MAP3K14', 'TRAF3', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'FASLG', 'IKBKE', 'RBX1', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'BTRC', 'TBK1', 'TNF', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'RIPK1', 'SKP1', 'TNFSF14', 'IRAK1', 'MALT1', 'LTB', 'NFKB2', 'TICAM2', 'HSP90AA1', 'TAX1BP1', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'CAND1', 'LTBR', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'HSPA8', 'TAB3', 'TICAM1', 'CUL1', 'FBXW7', 'BCL10', 'CD14', 'LRSAM1', 'UBE2N', 'TNFAIP3']
54	GO:BP	GO:0050776	regulation of immune response	3.315508096616793e-31	True	"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]"	912	101	45	21110	0.4455445544554455	0.0493421052631578	query_1	['GO:0002682', 'GO:0006955', 'GO:0048583']	['PTPN22', 'CARD11', 'HSPA1A', 'TNFRSF1B', 'CREBBP', 'MYD88', 'TRAF3', 'SARM1', 'IRAK3', 'RELA', 'IKBKB', 'IKBKE', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'RNF31', 'IRAK2', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'LTA', 'IRAK1', 'MALT1', 'TNIP1', 'TICAM2', 'HSP90AA1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TICAM1', 'BCL10', 'CD14', 'UBE2N', 'TNFAIP3', 'CDC37']
