Progeroid syndrome, Petty type	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
33	REAC	REAC:R-HSA-9664422	FCGR3A-mediated phagocytosis	2.3940174525778016e-19	True	FCGR3A-mediated phagocytosis	63	98	15	17376	0.1530612244897959	0.238095238095238	query_1	['REAC:R-HSA-9664417']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
34	REAC	REAC:R-HSA-9664417	Leishmania phagocytosis	2.3940174525778016e-19	True	Leishmania phagocytosis	63	98	15	17376	0.1530612244897959	0.238095238095238	query_1	['REAC:R-HSA-9664407']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'PTK2', 'ELMO1', 'ELMO2']
35	GO:BP	GO:0051128	regulation of cellular component organization	3.278254742335494e-19	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2347	98	53	17376	0.5408163265306123	0.0225820195994887	query_1	['GO:0016043', 'GO:0050794']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'NPHP4', 'HGF', 'PLCG2', 'WASL', 'NPHP1', 'PXN', 'ASAP1', 'FYN', 'WAS', 'LYN', 'GRB2', 'DVL2', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'SYK', 'FCGR1A', 'SIRPA', 'SMURF1', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'SIRPG', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'DOCK2', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ZDHHC2']
36	GO:BP	GO:0030335	positive regulation of cell migration	3.5009679384991624e-19	True	"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"	514	98	29	17376	0.2959183673469387	0.056420233463035	query_1	['GO:0016477', 'GO:0030334', 'GO:2000147']	['MET', 'ITGB1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'ITGA5', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'PLCG1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
37	GO:BP	GO:0051174	regulation of phosphorus metabolic process	3.5120913511822207e-19	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:ai]"	1279	98	41	17376	0.4183673469387755	0.0320562939796716	query_1	['GO:0006793', 'GO:0031323']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
38	GO:BP	GO:0019220	regulation of phosphate metabolic process	3.5120913511822207e-19	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]"	1278	98	41	17376	0.4183673469387755	0.0320813771517996	query_1	['GO:0006796', 'GO:0051174']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
39	REAC	REAC:R-HSA-194138	Signaling by VEGF	4.792499147994454e-19	True	Signaling by VEGF	104	98	17	17376	0.173469387755102	0.1634615384615384	query_1	['REAC:R-HSA-9006934']	['NCK1', 'ITGAV', 'BCAR1', 'DOCK1', 'ITGB3', 'PIK3R1', 'CRK', 'PXN', 'FYN', 'SHB', 'VAV1', 'PLCG1', 'PTK2B', 'PTK2', 'ELMO1', 'NCK2', 'ELMO2']
40	GO:BP	GO:0007165	signal transduction	5.239402377673176e-19	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	5250	98	75	17376	0.7653061224489796	0.0142857142857142	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'DOCK3', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
41	GO:BP	GO:0030036	actin cytoskeleton organization	7.115987962764569e-19	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	695	98	32	17376	0.3265306122448979	0.0460431654676259	query_1	['GO:0007010', 'GO:0030029']	['MET', 'LATS1', 'ITGB1', 'NCK1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'NPHP4', 'SHC1', 'WASL', 'WIPF1', 'NPHP1', 'PXN', 'WAS', 'GRB2', 'TGFB1', 'CD47', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'DOCK2', 'SMAD3', 'ELMO1', 'NCK2', 'PDGFRA', 'ELMO2']
42	GO:BP	GO:0002376	immune system process	7.115987962764569e-19	True	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"	2399	98	53	17376	0.5408163265306123	0.0220925385577323	query_1	['GO:0008150']	['RAPGEF1', 'ITGB1', 'SFTPA1', 'NCK1', 'FN1', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'SFTPD', 'CRK', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'TGFBR2', 'FYN', 'FYB1', 'WAS', 'LAT', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'TGFB1', 'LCP2', 'CD47', 'VAV1', 'SYK', 'DMBT1', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'ERBB2', 'SH3KBP1', 'PTK2B', 'CRKL', 'VTN', 'SIRPG', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2']
43	GO:BP	GO:2000147	positive regulation of cell motility	7.370232137236676e-19	True	"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]"	533	98	29	17376	0.2959183673469387	0.0544090056285178	query_1	['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']	['MET', 'ITGB1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'ITGA5', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'PLCG1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
44	GO:BP	GO:0006897	endocytosis	8.531581413631563e-19	True	"""A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a part of the plasma membrane to form a new membrane-bounded vesicle."" [GOC:mah, ISBN:0198506732, ISBN:0716731363, Wikipedia:Endocytosis]"	701	98	32	17376	0.3265306122448979	0.0456490727532097	query_1	['GO:0016192']	['MET', 'RAPGEF1', 'ITGB1', 'SFTPA1', 'ITGAV', 'DOCK1', 'SRC', 'ITGB3', 'SFTPD', 'PLCG2', 'WASL', 'TGFBR2', 'FYN', 'LYN', 'GRB2', 'TGFB1', 'EGFR', 'CD47', 'VAV1', 'SYK', 'DMBT1', 'FCGR1A', 'SIRPA', 'SH3KBP1', 'SH3GL2', 'VTN', 'SIRPG', 'PTK2', 'DOCK2', 'ELMO1', 'CBL', 'ELMO2']
45	GO:BP	GO:0001932	regulation of protein phosphorylation	1.0708819093254858e-18	True	"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein."" [GOC:hjd]"	1029	98	37	17376	0.3775510204081632	0.0359572400388726	query_1	['GO:0006468', 'GO:0031399', 'GO:0042325']	['LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'HGF', 'SHC1', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'LYN', 'SHB', 'DVL2', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'PTPN11', 'CBL', 'NCK2']
46	GO:BP	GO:0023052	signaling	1.097380154704105e-18	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	5661	98	77	17376	0.7857142857142857	0.0136018371312488	query_1	['GO:0050789']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'DOCK3', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ZDHHC2']
47	GO:BP	GO:0040017	positive regulation of locomotion	1.446594609734815e-18	True	"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]"	549	98	29	17376	0.2959183673469387	0.052823315118397	query_1	['GO:0040011', 'GO:0040012', 'GO:0048518']	['MET', 'ITGB1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'TGFBR2', 'ITGA5', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'PLCG1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
48	GO:BP	GO:0018108	peptidyl-tyrosine phosphorylation	1.55089853052001e-18	True	"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]"	362	98	25	17376	0.2551020408163265	0.0690607734806629	query_1	['GO:0006468', 'GO:0018212']	['MET', 'SRC', 'ITGB3', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'DVL2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VTN', 'DOCK3', 'PTK2', 'LCK', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
49	GO:BP	GO:0030029	actin filament-based process	1.55089853052001e-18	True	"""Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."" [GOC:mah]"	779	98	33	17376	0.336734693877551	0.042362002567394	query_1	['GO:0009987']	['MET', 'LATS1', 'ITGB1', 'NCK1', 'ITGB5', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'NPHP4', 'SHC1', 'WASL', 'WIPF1', 'NPHP1', 'PXN', 'WIPF2', 'WAS', 'GRB2', 'TGFB1', 'CD47', 'SH3KBP1', 'PTK2B', 'TLN1', 'TGFBR1', 'DOCK2', 'SMAD3', 'ELMO1', 'NCK2', 'PDGFRA', 'ELMO2']
50	GO:BP	GO:0018212	peptidyl-tyrosine modification	1.7200088993685932e-18	True	"""The modification of peptidyl-tyrosine."" [GOC:go_curators]"	364	98	25	17376	0.2551020408163265	0.0686813186813186	query_1	['GO:0018193']	['MET', 'SRC', 'ITGB3', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'ITGA5', 'FYN', 'ZAP70', 'LYN', 'DVL2', 'EGFR', 'SYK', 'FCGR1A', 'ERBB2', 'PTK2B', 'VTN', 'DOCK3', 'PTK2', 'LCK', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
51	GO:BP	GO:0016310	phosphorylation	2.405616332633904e-18	True	"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]"	1701	98	45	17376	0.4591836734693877	0.0264550264550264	query_1	['GO:0006796']	['MET', 'LATS1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'PARD6A', 'ITGA5', 'FYN', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'SYK', 'FCGR1A', 'SIRPA', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'DOCK3', 'TGFBR1', 'PKD1', 'PTK2', 'LCK', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
52	GO:BP	GO:0045321	leukocyte activation	2.5338004658636537e-18	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	924	98	35	17376	0.3571428571428571	0.0378787878787878	query_1	['GO:0001775', 'GO:0002376']	['ITGB1', 'NCK1', 'FN1', 'SRC', 'SMAD7', 'PIK3R1', 'SFTPD', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'FYN', 'WAS', 'LAT', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'TGFB1', 'LCP2', 'CD47', 'VAV1', 'SYK', 'SIRPA', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SIRPG', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2']
53	GO:BP	GO:0007154	cell communication	3.053045138945317e-18	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	5766	98	77	17376	0.7857142857142857	0.0133541449878598	query_1	['GO:0009987']	['MET', 'RAPGEF1', 'LATS1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGB5', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'NPHP4', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'RPGRIP1L', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'DOCK4', 'ZAP70', 'SKAP2', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'VTN', 'SIRPG', 'DOCK3', 'TLN1', 'TGFBR1', 'PKD1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ZDHHC2']
54	REAC	REAC:R-HSA-6806834	Signaling by MET	3.704996044858537e-18	True	Signaling by MET	75	98	15	17376	0.1530612244897959	0.2	query_1	['REAC:R-HSA-9006934']	['MET', 'RAPGEF1', 'ITGB1', 'FN1', 'SRC', 'PIK3R1', 'CRK', 'HGF', 'SOS1', 'SH3KBP1', 'SH3GL2', 'CRKL', 'PTK2', 'PTPN11', 'CBL']
55	REAC	REAC:R-HSA-2173789	TGF-beta receptor signaling activates SMADs	3.8120347651453434e-18	True	TGF-beta receptor signaling activates SMADs	44	98	13	17376	0.1326530612244898	0.2954545454545454	query_1	['REAC:R-HSA-170834']	['ITGB1', 'SMURF2', 'ITGB5', 'ITGAV', 'SMAD7', 'ITGB3', 'TGFB3', 'TGFBR2', 'SMURF1', 'TGFBR1', 'ITGB6', 'SMAD3', 'CBL']
56	GO:BP	GO:0038093	Fc receptor signaling pathway	5.7857229226756494e-18	True	"""The series of molecular signals initiated by the binding of the Fc portion of an immunoglobulin to an Fc receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."" [GOC:phg, Wikipedia:Fc_receptor]"	56	98	14	17376	0.1428571428571428	0.25	query_1	['GO:0002768']	['RAPGEF1', 'SRC', 'PLCG2', 'SOS1', 'FYN', 'LYN', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'PTK2', 'LCK']
57	REAC	REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	8.88007631742255e-18	True	Diseases of signal transduction by growth factor receptors and second messengers	410	98	25	17376	0.2551020408163265	0.0609756097560975	query_1	['REAC:R-HSA-1643685']	['MET', 'FN1', 'SRC', 'ITGB3', 'PIK3R1', 'HGF', 'SHC1', 'SOS1', 'TGFBR2', 'ITGA2B', 'FYN', 'LYN', 'GRB2', 'EGFR', 'VCL', 'VAV1', 'PLCG1', 'ERBB2', 'TLN1', 'TGFBR1', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
58	GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	9.572756255415773e-18	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	308	98	23	17376	0.2346938775510204	0.0746753246753246	query_1	['GO:0002764', 'GO:0007166']	['RAPGEF1', 'BCAR1', 'SRC', 'SKAP1', 'ITK', 'PLCG2', 'SOS1', 'FYN', 'FYB1', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'LCP2', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'CRKL', 'PTK2', 'LCK']
59	GO:CC	GO:0030054	cell junction	1.8028262752284505e-17	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2081	98	48	17376	0.4897959183673469	0.0230658337337818	query_1	['GO:0110165']	['ITGB1', 'NCK1', 'ITGB5', 'ITGAV', 'BCAR1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'SKAP1', 'CRK', 'NPHP4', 'ITK', 'WASL', 'SOS1', 'RPGRIP1L', 'PARD6A', 'ITGA2B', 'ITGA5', 'NPHP1', 'PXN', 'ASAP1', 'FYN', 'FYB1', 'WAS', 'PARD3', 'LAT', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VCL', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'CBL', 'NCK2', 'PDGFRA', 'ZDHHC2']
60	REAC	REAC:R-HSA-168249	Innate Immune System	1.9139266730376892e-17	True	Innate Immune System	1023	98	35	17376	0.3571428571428571	0.0342130987292277	query_1	['REAC:R-HSA-168256']	['SFTPA1', 'NCK1', 'ITGAV', 'DOCK1', 'PIK3R1', 'WIPF3', 'SFTPD', 'CRK', 'ITK', 'PLCG2', 'WASL', 'SOS1', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'LCP2', 'CD47', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'OSCAR', 'SIRPA', 'CKAP4', 'VTN', 'PTK2', 'DOCK2', 'LCK', 'ELMO1', 'PTPN11', 'ELMO2', 'SFTPA2']
61	REAC	REAC:R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	2.0500891798354237e-17	True	Regulation of actin dynamics for phagocytic cup formation	66	98	14	17376	0.1428571428571428	0.2121212121212121	query_1	['REAC:R-HSA-2029480']	['NCK1', 'DOCK1', 'WIPF3', 'CRK', 'WASL', 'WIPF1', 'WIPF2', 'WAS', 'VAV1', 'SYK', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2']
62	REAC	REAC:R-HSA-354192	Integrin signaling	2.0500891798354237e-17	True	Integrin signaling	26	98	11	17376	0.1122448979591836	0.4230769230769231	query_1	['REAC:R-HSA-162582', 'REAC:R-HSA-76009']	['FN1', 'BCAR1', 'SRC', 'ITGB3', 'CRK', 'SHC1', 'SOS1', 'ITGA2B', 'SYK', 'TLN1', 'PTK2']
63	GO:BP	GO:2000145	regulation of cell motility	3.4820772780710737e-17	True	"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]"	937	98	34	17376	0.3469387755102041	0.0362860192102454	query_1	['GO:0040012', 'GO:0048870', 'GO:0050794']	['MET', 'ITGB1', 'NCK1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'WASL', 'TGFBR2', 'ITGA5', 'WAS', 'DOCK4', 'LYN', 'TGFB1', 'EGFR', 'CD47', 'VCL', 'PLCG1', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'SMAD3', 'DOCK5', 'PDGFRA']
64	GO:BP	GO:0048584	positive regulation of response to stimulus	3.4820772780710737e-17	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2115	98	48	17376	0.4897959183673469	0.0226950354609929	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'SMURF2', 'ITGAV', 'FN1', 'BCAR1', 'SRC', 'ITGB3', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PLCG2', 'SOS1', 'TGFBR2', 'ITGA5', 'FYN', 'FYB1', 'WAS', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'LCP2', 'EGFR', 'CD47', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'PTK2B', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'LCK', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
65	REAC	REAC:R-HSA-186797	Signaling by PDGF	4.5820254695435764e-17	True	Signaling by PDGF	53	98	13	17376	0.1326530612244898	0.2452830188679245	query_1	['REAC:R-HSA-9006934']	['RAPGEF1', 'NCK1', 'BCAR1', 'SRC', 'SPP1', 'PIK3R1', 'CRK', 'SOS1', 'PLCG1', 'CRKL', 'PTPN11', 'NCK2', 'PDGFRA']
66	REAC	REAC:R-HSA-170834	Signaling by TGF-beta Receptor Complex	4.838740871987087e-17	True	Signaling by TGF-beta Receptor Complex	90	98	15	17376	0.1530612244897959	0.1666666666666666	query_1	['REAC:R-HSA-9006936']	['ITGB1', 'SMURF2', 'ITGB5', 'ITGAV', 'SMAD7', 'ITGB3', 'TGFB3', 'TGFBR2', 'PARD6A', 'PARD3', 'SMURF1', 'TGFBR1', 'ITGB6', 'SMAD3', 'CBL']
