Ataxia-telangiectasia	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
26	REAC	REAC:R-HSA-9701193	Defective homologous recombination repair (HRR) due to PALB2 loss of function	1.1837581734894316e-49	True	Defective homologous recombination repair (HRR) due to PALB2 loss of function	25	100	23	17376	0.23	0.92	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
27	REAC	REAC:R-HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	1.1837581734894316e-49	True	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	25	100	23	17376	0.23	0.92	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
28	REAC	REAC:R-HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	1.1837581734894316e-49	True	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	25	100	23	17376	0.23	0.92	query_1	['REAC:R-HSA-9701193']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
29	REAC	REAC:R-HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	1.1837581734894316e-49	True	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	25	100	23	17376	0.23	0.92	query_1	['REAC:R-HSA-9701193']	['RBBP8', 'BRIP1', 'NBN', 'RAD50', 'RAD51AP1', 'RAD51D', 'BRCA2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'PALB2']
30	GO:BP	GO:0000724	double-strand break repair via homologous recombination	2.6504429878612483e-49	True	"""The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."" [GOC:elh, PMID:10357855]"	167	100	38	17376	0.38	0.2275449101796407	query_1	['GO:0000725', 'GO:0006302']	['RBBP8', 'HUS1', 'RPA4', 'NBN', 'MUS81', 'TP53BP1', 'RAD52', 'RAD51AP1', 'LIG3', 'WDR48', 'RAD51D', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'PARP1', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'XRCC1', 'XRCC2', 'KAT5', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'KDM1A', 'PALB2']
31	GO:BP	GO:0006260	DNA replication	2.0046459346068278e-47	True	"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]"	272	100	42	17376	0.42	0.1544117647058823	query_1	['GO:0006259']	['RBBP8', 'RPA4', 'NBN', 'MUS81', 'POLD3', 'RAD50', 'LIG3', 'LIG4', 'FEN1', 'POLD4', 'RPA2', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'CHRAC1', 'POLA2', 'POLD1', 'POLB', 'BARD1', 'WRN', 'SLX4', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'POLE', 'POLD2']
32	GO:BP	GO:0006950	response to stress	3.16858044254168e-46	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"	3769	100	90	17376	0.9	0.0238790130007959	query_1	['GO:0050896']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'PHLPP1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
33	REAC	REAC:R-HSA-1640170	Cell Cycle	4.940627987254213e-44	True	Cell Cycle	673	100	51	17376	0.51	0.075780089153046	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'MLH1', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'PRIM2', 'EXO1', 'BRCA1', 'CDK2', 'POLA2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'POLE', 'POLD2', 'RNF8']
34	GO:CC	GO:0031974	membrane-enclosed lumen	6.887415477456475e-44	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	5406	100	97	17376	0.97	0.0179430262671106	query_1	['GO:0110165']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'WDR20', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
35	GO:CC	GO:0070013	intracellular organelle lumen	6.887415477456475e-44	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5406	100	97	17376	0.97	0.0179430262671106	query_1	['GO:0043229', 'GO:0043233']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'WDR20', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
36	GO:CC	GO:0043233	organelle lumen	6.887415477456475e-44	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	5406	100	97	17376	0.97	0.0179430262671106	query_1	['GO:0031974', 'GO:0043226']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'WDR20', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'USP12', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
37	GO:CC	GO:0005657	replication fork	6.887415477456475e-44	True	"""The Y-shaped region of a replicating DNA molecule, resulting from the separation of the DNA strands and in which the synthesis of new strands takes place. Also includes associated protein complexes."" [GOC:mah, ISBN:0198547684]"	71	100	28	17376	0.28	0.3943661971830985	query_1	['GO:0005694', 'GO:0110165']	['RPA4', 'XPA', 'NBN', 'MUS81', 'TP53BP1', 'POLD3', 'RAD51D', 'POLD4', 'H2AX', 'RPA2', 'POLA1', 'PRIM1', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'MRE11', 'PRIM2', 'POLA2', 'XRCC2', 'POLD1', 'WRN', 'XRCC3', 'RAD51C', 'TP53', 'RAD51B', 'POLD2']
38	GO:BP	GO:0090304	nucleic acid metabolic process	1.432887273002442e-43	True	"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]"	4724	100	94	17376	0.94	0.0198983911939034	query_1	['GO:0006139', 'GO:0043170']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
39	GO:BP	GO:0006261	DNA-templated DNA replication	5.200262965238532e-43	True	"""A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands."" [GOC:mah, ISBN:0198506732]"	157	100	34	17376	0.34	0.2165605095541401	query_1	['GO:0006260']	['RBBP8', 'RPA4', 'NBN', 'MUS81', 'POLD3', 'RAD50', 'LIG3', 'FEN1', 'POLD4', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'PCNA', 'ATR', 'PARP1', 'RPA1', 'BLM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'POLA2', 'POLD1', 'POLB', 'BARD1', 'WRN', 'POLE2', 'PNKP', 'POLE', 'POLD2']
40	GO:CC	GO:0000781	chromosome, telomeric region	6.3403946354344974e-43	True	"""The end of a linear chromosome, required for the integrity and maintenance of the end. A chromosome telomere usually includes a region of telomerase-encoded repeats the length of which rarely exceeds 20 bp each and that permits the formation of a telomeric loop (T-loop). The telomeric repeat region is usually preceded by a sub-telomeric region that is gene-poor but rich in repetitive elements. Some telomeres only consist of the latter part (for eg. D. melanogaster telomeres)."" [GOC:elh]"	166	100	34	17376	0.34	0.2048192771084337	query_1	['GO:0098687']	['RPA4', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD51AP1', 'XRCC6', 'RAD51D', 'LIG4', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'XRCC5', 'RPA1', 'ERCC4', 'BLM', 'ATM', 'MRE11', 'RAD51', 'APEX1', 'CDK2', 'PRKDC', 'XRCC1', 'POLD1', 'WRN', 'XRCC3', 'SLX4', 'KDM1A', 'RNF8']
41	REAC	REAC:R-HSA-69473	G2/M DNA damage checkpoint	2.6076147561614974e-42	True	G2/M DNA damage checkpoint	94	100	29	17376	0.29	0.3085106382978723	query_1	['REAC:R-HSA-69481']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'RAD50', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'TP53', 'RNF8']
42	REAC	REAC:R-HSA-5693607	Processing of DNA double-strand break ends	7.250943696864874e-42	True	Processing of DNA double-strand break ends	97	100	29	17376	0.29	0.2989690721649484	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'RAD50', 'H2AX', 'RPA2', 'MDC1', 'RAD1', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'RNF8']
43	GO:BP	GO:0051052	regulation of DNA metabolic process	2.2012641572678308e-41	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	515	100	46	17376	0.46	0.0893203883495145	query_1	['GO:0006259', 'GO:0019219', 'GO:0060255']	['RBBP8', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'PCNA', 'ATR', 'PARP1', 'ERCC1', 'XRCC5', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'XRCC1', 'KAT5', 'BARD1', 'WRN', 'SLX4', 'RMI2', 'TP53', 'PNKP', 'KDM1A', 'RNF8', 'MSH6']
44	GO:BP	GO:0010212	response to ionizing radiation	7.72643293742651e-41	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [PMID:12509526]"	143	100	32	17376	0.32	0.2237762237762237	query_1	['GO:0009314']	['HUS1', 'RAD9B', 'MSH2', 'TP53BP1', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'ATR', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC2', 'KAT5', 'POLB', 'BARD1', 'WRN', 'TP53', 'KDM1A', 'RNF8']
45	GO:BP	GO:0009314	response to radiation	2.398463231927582e-40	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:jl, Wikipedia:Electromagnetic_radiation]"	433	100	43	17376	0.43	0.0993071593533487	query_1	['GO:0009628']	['HUS1', 'AKT1', 'RAD9B', 'XPA', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'H2AX', 'OGG1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'TP53', 'PNKP', 'KDM1A', 'RNF8', 'MSH6']
46	REAC	REAC:R-HSA-73933	Resolution of Abasic Sites (AP sites)	2.637078451743038e-40	True	Resolution of Abasic Sites (AP sites)	36	100	22	17376	0.22	0.6111111111111112	query_1	['REAC:R-HSA-73884']	['POLD3', 'LIG3', 'FEN1', 'POLD4', 'RPA2', 'OGG1', 'LIG1', 'POLE4', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'POLE3', 'APEX1', 'XRCC1', 'POLD1', 'POLB', 'POLE2', 'PNKP', 'NEIL1', 'POLE', 'POLD2']
47	GO:CC	GO:0140513	nuclear protein-containing complex	5.147739288510257e-40	True	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."" [GOC:pg]"	1261	100	59	17376	0.59	0.0467882632831086	query_1	['GO:0005634', 'GO:0032991']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'POLD3', 'RAD50', 'LIG3', 'XRCC6', 'HLTF', 'RAD51D', 'PAXIP1', 'LIG4', 'MLH1', 'POLD4', 'RPA2', 'MSH3', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'PRIM2', 'HUS1B', 'BRCA1', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'BARD1', 'XRCC3', 'SLX4', 'RAD51C', 'POLE2', 'RAD51B', 'POLE', 'POLD2', 'MSH6']
48	GO:BP	GO:0006139	nucleobase-containing compound metabolic process	7.360102771223492e-40	True	"""Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:ai]"	5202	100	94	17376	0.94	0.0180699730872741	query_1	['GO:0006725', 'GO:0034641', 'GO:0044238', 'GO:0046483', 'GO:1901360']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
49	GO:CC	GO:0000228	nuclear chromosome	1.0065795728532392e-39	True	"""A chromosome that encodes the nuclear genome and is found in the nucleus of a eukaryotic cell during the cell cycle phases when the nucleus is intact."" [GOC:dph, GOC:mah]"	227	100	35	17376	0.35	0.1541850220264317	query_1	['GO:0005694', 'GO:0031981']	['HUS1', 'RPA4', 'RAD9B', 'XPA', 'MUS81', 'POLD3', 'RAD50', 'MLH1', 'POLD4', 'H2AX', 'RPA2', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'RAD9A', 'POLE3', 'RAD51', 'PRIM2', 'HUS1B', 'BRCA1', 'CHRAC1', 'POLA2', 'KAT5', 'POLD1', 'SLX4', 'POLE2', 'POLE', 'POLD2']
50	GO:BP	GO:0046483	heterocycle metabolic process	1.0579128062078036e-38	True	"""The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198506732]"	5358	100	94	17376	0.94	0.0175438596491228	query_1	['GO:0044237']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
