Hoyeraal-Hreidarsson syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
15	GO:BP	GO:0090304	nucleic acid metabolic process	8.561515636318369e-36	True	"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]"	4735	104	94	15719	0.903846153846154	0.0198521647307286	query_1	['GO:0006139', 'GO:0043170']	['RBBP8', 'HUS1', 'ACD', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
7	GO:CC	GO:0031974	membrane-enclosed lumen	1.68733562936355e-35	True	"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]"	5424	104	96	16420	0.9230769230769232	0.0176991150442477	query_1	['GO:0110165']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'AR', 'TERT', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'HADHB', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'HADHA', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
6	GO:CC	GO:0043233	organelle lumen	1.68733562936355e-35	True	"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]"	5424	104	96	16420	0.9230769230769232	0.0176991150442477	query_1	['GO:0031974', 'GO:0043226']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'AR', 'TERT', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'HADHB', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'HADHA', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
5	GO:CC	GO:0070013	intracellular organelle lumen	1.68733562936355e-35	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5424	104	96	16420	0.9230769230769232	0.0176991150442477	query_1	['GO:0043229', 'GO:0043233']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'WDR20', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'USP12', 'RPA3', 'AR', 'TERT', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'HADHB', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'HADHA', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
5	REAC	REAC:R-HSA-1640170	Cell Cycle	2.6158645666263467e-35	True	Cell Cycle	676	100	54	10022	0.54	0.0798816568047337	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'ACD', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'TERF2IP', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MDC1', 'LIG1', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'TERT', 'DKC1', 'POT1', 'DAXX', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'POLA2', 'RTEL1', 'POLD1', 'BARD1', 'WRN', 'NOP10', 'RMI2', 'RMI1', 'TP53', 'WRAP53', 'PIF1', 'RNF8']
7	REAC	REAC:R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	6.343376414506581e-35	True	Diseases of DNA Double-Strand Break Repair	41	100	23	10022	0.23	0.5609756097560976	query_1	['REAC:R-HSA-9675135']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
8	REAC	REAC:R-HSA-9709570	Impaired BRCA2 binding to RAD51	6.343376414506581e-35	True	Impaired BRCA2 binding to RAD51	35	100	22	10022	0.22	0.6285714285714286	query_1	['REAC:R-HSA-9701190']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
6	REAC	REAC:R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	6.343376414506581e-35	True	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	41	100	23	10022	0.23	0.5609756097560976	query_1	['REAC:R-HSA-9675136']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
9	REAC	REAC:R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	2.673334733070493e-34	True	Homologous DNA Pairing and Strand Exchange	43	100	23	10022	0.23	0.5348837209302325	query_1	['REAC:R-HSA-5685942']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
10	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	4.174260963536294e-34	True	HDR through Homologous Recombination (HRR)	68	100	26	10022	0.26	0.3823529411764705	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'RAD50', 'RAD51AP1', 'RPA2', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'RTEL1', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
11	REAC	REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	1.672262001818385e-33	True	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	132	100	31	10022	0.31	0.2348484848484848	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'TP53BP1', 'RAD50', 'RAD51AP1', 'H2AX', 'RPA2', 'MDC1', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'RTEL1', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'RNF8']
16	GO:BP	GO:0006139	nucleobase-containing compound metabolic process	2.5261924499561026e-33	True	"""Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:ai]"	5215	104	95	15719	0.9134615384615384	0.0182166826462128	query_1	['GO:0006725', 'GO:0034641', 'GO:0044238', 'GO:0046483', 'GO:1901360']	['RBBP8', 'HUS1', 'ACD', 'GNE', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
12	REAC	REAC:R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3.1537818609580616e-33	True	Presynaptic phase of homologous DNA pairing and strand exchange	40	100	22	10022	0.22	0.55	query_1	['REAC:R-HSA-5693579']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'BRCA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
17	GO:BP	GO:0000725	recombinational repair	9.239786465462032e-33	True	"""A DNA repair process that involves the exchange, reciprocal or nonreciprocal, of genetic material between the broken DNA molecule and a homologous DNA region."" [GOC:elh]"	171	104	30	15719	0.2884615384615384	0.175438596491228	query_1	['GO:0006281', 'GO:0006310']	['RBBP8', 'HUS1', 'NBN', 'TP53BP1', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'PARP1', 'XRCC5', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'XRCC1', 'RTEL1', 'WRN', 'RMI2', 'RMI1', 'WRAP53']
13	REAC	REAC:R-HSA-157579	Telomere Maintenance	9.382149694406522e-33	True	Telomere Maintenance	111	100	29	10022	0.29	0.2612612612612612	query_1	['REAC:R-HSA-73886']	['ACD', 'ATRX', 'TERF2', 'TERF2IP', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'LIG1', 'TERF1', 'TINF2', 'GAR1', 'PCNA', 'RPA3', 'TERT', 'DKC1', 'POT1', 'DAXX', 'RPA1', 'BLM', 'CDK2', 'POLA2', 'RTEL1', 'POLD1', 'WRN', 'NOP10', 'WRAP53', 'PIF1']
18	GO:BP	GO:0032204	regulation of telomere maintenance	2.4639481662794894e-32	True	"""Any process that modulates the frequency, rate or extent of a process that affects and monitors the activity of telomeric proteins and the length of telomeric DNA."" [GOC:mah]"	105	104	26	15719	0.25	0.2476190476190476	query_1	['GO:0000723', 'GO:0033044', 'GO:0051052']	['ACD', 'NBN', 'ATRX', 'RAD50', 'TERF2', 'TERF2IP', 'CTNNB1', 'DCP2', 'TERF1', 'TINF2', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'XRCC5', 'ATM', 'MRE11', 'NAF1', 'USP7', 'SMG6', 'XRCC1', 'RTEL1', 'TNKS', 'PNKP', 'PIF1']
19	GO:BP	GO:0046483	heterocycle metabolic process	3.1720161884891246e-32	True	"""The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198506732]"	5371	104	95	15719	0.9134615384615384	0.0176875814559672	query_1	['GO:0044237']	['RBBP8', 'HUS1', 'ACD', 'GNE', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
14	REAC	REAC:R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3.983774439330309e-32	True	HDR through Single Strand Annealing (SSA)	37	100	21	10022	0.21	0.5675675675675675	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'RAD50', 'RPA2', 'RAD1', 'RPA3', 'RPA1', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'BARD1', 'WRN', 'RMI2', 'RMI1']
20	GO:BP	GO:0006725	cellular aromatic compound metabolic process	6.147678384019287e-32	True	"""The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells."" [GOC:ai, ISBN:0198506732]"	5413	104	95	15719	0.9134615384615384	0.0175503417698134	query_1	['GO:0044237']	['RBBP8', 'HUS1', 'ACD', 'GNE', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
21	GO:BP	GO:0010212	response to ionizing radiation	6.370990677573485e-32	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [PMID:12509526]"	143	104	28	15719	0.2692307692307692	0.1958041958041958	query_1	['GO:0009314']	['HUS1', 'RAD9B', 'MDM2', 'MSH2', 'TP53BP1', 'RAD51AP1', 'XRCC6', 'PAXIP1', 'LIG4', 'H2AX', 'BRCA2', 'RAD1', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'RAD51', 'BRCA1', 'PRKDC', 'BARD1', 'POLB', 'WRN', 'TP53', 'RNF8']
22	GO:BP	GO:0051053	negative regulation of DNA metabolic process	8.476120741701318e-31	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	137	104	27	15719	0.2596153846153846	0.1970802919708029	query_1	['GO:0006259', 'GO:0010605', 'GO:0045934', 'GO:0051052']	['ACD', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'TERF2', 'LIG3', 'TERF2IP', 'MLH1', 'MSH3', 'DCP2', 'TERF1', 'TINF2', 'TNKS2', 'POT1', 'PARP1', 'XRCC5', 'BLM', 'ATM', 'SMG6', 'XRCC1', 'RTEL1', 'RMI2', 'TNKS', 'TP53', 'PIF1', 'MSH6']
23	GO:BP	GO:1901360	organic cyclic compound metabolic process	2.1556152178910997e-30	True	"""The chemical reactions and pathways involving organic cyclic compound."" [GOC:TermGenie]"	5637	104	95	15719	0.9134615384615384	0.0168529359588433	query_1	['GO:0071704']	['RBBP8', 'HUS1', 'ACD', 'GNE', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
24	GO:BP	GO:0000724	double-strand break repair via homologous recombination	5.940521094534957e-30	True	"""The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."" [GOC:elh, PMID:10357855]"	167	104	28	15719	0.2692307692307692	0.1676646706586826	query_1	['GO:0000725', 'GO:0006302']	['RBBP8', 'HUS1', 'NBN', 'TP53BP1', 'RAD51AP1', 'LIG3', 'WDR48', 'TERF2IP', 'FEN1', 'H2AX', 'RPA2', 'BRCA2', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'XRCC1', 'RTEL1', 'WRN', 'RMI2', 'RMI1', 'WRAP53']
15	REAC	REAC:R-HSA-73886	Chromosome Maintenance	8.790923285620798e-30	True	Chromosome Maintenance	138	100	29	10022	0.29	0.2101449275362318	query_1	['REAC:R-HSA-1640170']	['ACD', 'ATRX', 'TERF2', 'TERF2IP', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'LIG1', 'TERF1', 'TINF2', 'GAR1', 'PCNA', 'RPA3', 'TERT', 'DKC1', 'POT1', 'DAXX', 'RPA1', 'BLM', 'CDK2', 'POLA2', 'RTEL1', 'POLD1', 'WRN', 'NOP10', 'WRAP53', 'PIF1']
25	GO:BP	GO:0016233	telomere capping	9.766170560160116e-30	True	"""A process in which telomeres are protected from degradation and fusion, thereby ensuring chromosome stability by protecting the ends from both degradation and from being recognized as damaged DNA. May be mediated by specific single- or double-stranded telomeric DNA binding proteins."" [GOC:mah, GOC:rn, PMID:11349150, PMID:11352055]"	40	104	19	15719	0.1826923076923076	0.475	query_1	['GO:0000723']	['ACD', 'NBN', 'RAD50', 'TERF2', 'TERF2IP', 'TERF1', 'TINF2', 'TNKS2', 'POT1', 'ATM', 'MRE11', 'USP7', 'DCLRE1B', 'SMG6', 'PRKDC', 'XRCC1', 'RTEL1', 'TNKS', 'PNKP']
26	GO:BP	GO:0034641	cellular nitrogen compound metabolic process	1.5412741415594138e-29	True	"""The chemical reactions and pathways involving various organic and inorganic nitrogenous compounds, as carried out by individual cells."" [GOC:mah]"	5768	104	95	15719	0.9134615384615384	0.0164701803051317	query_1	['GO:0006807', 'GO:0044237']	['RBBP8', 'HUS1', 'ACD', 'GNE', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'SHQ1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'AR', 'TERT', 'TNKS2', 'CHD1L', 'DVL2', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'DVL1', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'KHSRP', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
27	GO:BP	GO:0006260	DNA replication	1.577937854638343e-29	True	"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]"	272	104	32	15719	0.3076923076923077	0.1176470588235294	query_1	['GO:0006259']	['RBBP8', 'NBN', 'ATRX', 'RAD50', 'TERF2', 'LIG3', 'LIG4', 'FEN1', 'RPA2', 'LIG1', 'TERF1', 'BRCA2', 'PCNA', 'RPA3', 'PARP1', 'RPA1', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'CDK2', 'POLA2', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'RMI1', 'TP53', 'PNKP', 'PIF1']
